job_title,job_url,company,company_location,salary,time_commitment,job_description,post_date,today
"Security Analyst, Cyber Defense",https://ng.indeed.com/rc/clk?jk=74808c14276c1abd&fccid=515a2c959c12a211&vjs=3,Moniepoint,Lagos,,,"Moniepoint is a financial technology company digitising Africa's real economy by building a financial ecosystem for businesses, providing them with all the…
",Posted 11 days ago,2023-12-02
HR Support,https://ng.indeed.com/rc/clk?jk=8dc172369004299e&fccid=a7b83de6d6f289ed&vjs=3,YNV Group,Lagos,,,"Able to spot trends and insights from data analyst.
The HR Support role is a strategic team member who will deliver a variety of HR administrative and project…
",Posted 22 days ago,2023-12-02
"Security Analyst, Cyber Defense",https://ng.indeed.com/rc/clk?jk=74808c14276c1abd&fccid=515a2c959c12a211&vjs=3,Moniepoint,Lagos,,,"Moniepoint is a financial technology company digitising Africa's real economy by building a financial ecosystem for businesses, providing them with all the…
",Posted 11 days ago,2023-12-02
Cyber Security Analyst,https://ng.indeed.com/rc/clk?jk=6cd3cbd6e2030292&fccid=a7b83de6d6f289ed&vjs=3,YNV Group,Lagos,,,"Enrich security incidents with contextual data to provide a more comprehensive understanding of the event.
Strong problem-solving skills, with the ability to…
",Posted 30+ days ago,2023-12-02
Fraud Management Lead,https://ng.indeed.com/rc/clk?jk=02c99fd185f9c821&fccid=61025b922b8b9b46&vjs=3,Nomba,Lekki,,,"Perform data management and analysis on fraud cases.
Well-versed in risk handling procedures, data safeguarding tools, and electronic payment fraudulent…
",Posted 30+ days ago,2023-12-02
Category Analyst - Consumer Electronics - Jumia (Full Time),https://ng.indeed.com/rc/clk?jk=853be3ba40fbea4d&fccid=3e9359119b425c78&vjs=3,Jumia,Lagos,,,"2-4 years experience in analyzing large data sets to make strategic decisions.
Understanding all your markets, vendors and customers, bringing valuable insights…
",Posted 30+ days ago,2023-12-02
Community Specialist,https://ng.indeed.com/rc/clk?jk=b7c7fd772b6038f7&fccid=aa3cf9d2b1f8dca7&vjs=3,THE ROOM,Lagos,,,"In addition to this, we develop talent in other verticals, such as cloud computing, cybersecurity, executive assistants and financial analysts.
",Posted 30+ days ago,2023-12-02
Quality Assurance Engineer,https://ng.indeed.com/company/GVA-Partners/jobs/Quality-Assurance-Engineer-76fd8882ba74d183?fccid=5aadbb073dae2b4a&vjs=3,GVA Partners,Lagos,,,"The ideal candidate should have experience in analysis and design tasks related to testing and Quality Assurance, to be able to interface with Business Analyst,…
",Posted 14 days ago,2023-12-02
Credit Analyst,https://ng.indeed.com/company/SunFi-Technologies-Limited/jobs/Credit-Analyst-2f476f66ee39f75a?fccid=0010435dd70db46f&vjs=3,SunFi Technology Solutions Limited,Lagos,,,"Track and monitor relevant data points.
Management and analysis of payment plan data.
Advanced knowledge of Excel and modelling - ability to perform data…
",Active 11 days ago,2023-12-02
Business Technical Documentation Analyst,https://ng.indeed.com/company/Enov8-Solutions-Limited/jobs/Technical-Analyst-a9d46177dcf71095?fccid=0d999421a7cb2c9a&vjs=3,Enov8 Solutions Limited,Lagos,,,"Experience in data visualization techniques and tools.
Experience in analyzing data to draw business-relevant conclusions.
A degree in IT / Computer Science.
",Posted 10 days ago,2023-12-02
Business Project Support (Intern),https://ng.indeed.com/company/Lamischolero-Nigeria-Limited/jobs/Business-Intern-6b2e24813cb57452?fccid=7bdf818863bd03c3&vjs=3,Lamischolero Nigeria Limited,Lagos,,,"Assist in analyzing business data to extract valuable insights.
Work on data collection, cleansing, and analysis to support project objectives.
",Active 11 days ago,2023-12-02
Cyber Security Analyst and System Administrator,https://ng.indeed.com/company/Veegil-Media/jobs/Systems-Administrator-1418228dfba03374?fccid=ff1ac6a947c4b739&vjs=3,Veegil Media,Lagos,,,"Ensuring that the organization’s data and infrastructure are protected by enabling the appropriate security controls.
Job Types: Permanent, Full-time.
",Active 15 days ago,2023-12-02
"Senior Associate, AML Monitoring & Reporting",https://ng.indeed.com/rc/clk?jk=f61eef46b6259289&fccid=1acb501acc9a4594&vjs=3,Flutterwave,Lekki,,,"Identify and suggest potential training opportunities for first line transaction monitoring analysts, as warranted.
",Posted 30+ days ago,2023-12-02
Compensation and Benefits Analyst,https://ng.indeed.com/rc/clk?jk=0b7284e59ae861f3&fccid=c0663c060301ccaa&vjs=3,Human Resource Specialists (Nigeria),Lagos,,,"A gas and power portfolio company needs a Compensation and Benefits Analyst to ensure employee packages are competitive and in alignment with company policies…
",Posted 30+ days ago,2023-12-02
Transaction Monitoring Analyst,https://ng.indeed.com/rc/clk?jk=c80777da1bf5155d&fccid=dafb888dd5fe3af6&vjs=3,Kora,Lagos,,,"Being a tech company that values innovation, competence is also required in designing custom-made solutions from data to aid Kora in achieving her unique…
",Active 11 days ago,2023-12-02
Business Analyst (Cement),https://ng.indeed.com/rc/clk?jk=da3c2d3a94407a2d&fccid=ceb9703c328d2e23&vjs=3,Dangote Group,Lagos,,,"Collaborate with cross-functional teams to gather and interpret data.
Analyze operational data and identify trends and opportunities for optimization.
",Posted 17 days ago,2023-12-02
Financial Business Analyst,https://ng.indeed.com/rc/clk?jk=2161c511b9e61cc7&fccid=50e3afccdf91c349&vjs=3,Paga,Yaba,,Full-time,"Proficiency across data, financial and strategy analysis.
Analyse business unit financial data and create financial models for decision support.
",Posted 30+ days ago,2023-12-02
Marketing Administrator,https://ng.indeed.com/company/Worqulture/jobs/Marketing-Administrator-21591a1639899bb2?fccid=bf57189628ef38ff&vjs=3,WorQulture,Lagos,,Full-time,"Maintain marketing databases and assist in data analysis.
Analytical mindset with the ability to interpret data and trends.
",Posted 3 days ago,2023-12-02
"Senior Associate, AML Monitoring & Reporting",https://ng.indeed.com/rc/clk?jk=f61eef46b6259289&fccid=1acb501acc9a4594&vjs=3,Flutterwave,Lekki,,Full-time,"Identify and suggest potential training opportunities for first line transaction monitoring analysts, as warranted.
",Posted 30+ days ago,2023-12-02
Quality Assurance Engineer,https://ng.indeed.com/company/GVA-Partners/jobs/Quality-Assurance-Engineer-76fd8882ba74d183?fccid=5aadbb073dae2b4a&vjs=3,GVA Partners,Lagos,,Full-time,"The ideal candidate should have experience in analysis and design tasks related to testing and Quality Assurance, to be able to interface with Business Analyst,…
",Posted 14 days ago,2023-12-02
Data Engineer,https://ng.indeed.com/rc/clk?jk=0a1a9dcae6ffa46e&fccid=45f4467645d80d27&vjs=3,PeopleOS,Lagos,,,"Collaborate with data scientists and analysts to provide clean and structured datasets for analysis.
Ensure data quality, integrity, and security across all…
",Posted 7 days ago,2023-12-02
Process Analyst,https://ng.indeed.com/rc/clk?jk=bac6a48826979b11&fccid=c05e6a3b54d6b529&vjs=3,Kuda Technologies Ltd,Lagos,,Full-time,"Leverage data analysis to uncover patterns, bottlenecks, and areas for optimization within our processes.
Advanced data analysis and visualization skills using…
",Active 11 days ago,2023-12-02
"Senior, Information Security Analyst",https://ng.indeed.com/rc/clk?jk=389e12a6ba85f06b&fccid=eaf2233995decda5&vjs=3,Carbon,Lagos,,Full-time,"Data-Driven: Rigorous in using data for decisions, experiments to test assumptions and hypothesis.
The information security analyst will implement security…
",Posted 30+ days ago,2023-12-02
Business Intelligence Analyst,https://ng.indeed.com/rc/clk?jk=dd3f39d61183a842&fccid=ed6988011f08845b&vjs=3,Reliance Health,Lagos,,Full-time,"Complex data modelling and designing data analysis methodologies.
The business intelligence analyst is a key member of the data science team, responsible for…
",Active 12 days ago,2023-12-02
Dynamics 365 Business Central Business Analyst,https://ng.indeed.com/rc/clk?jk=fe8bfd727093b85f&fccid=5986400a0322ebed&vjs=3,ITC WORLDWIDE,Lagos,,Full-time,"The Functional Business Analyst - Microsoft Dynamics Business Central will serve as a liaison among IT, business partners, product owners, architects, data…
",Posted 28 days ago,2023-12-02
Software Integration Analyst,https://ng.indeed.com/rc/clk?jk=6d22f469005ab0db&fccid=c87f0b5bf4c2ea80&vjs=3,Procept Associates Professional Services Limited,Lagos,,Full-time,"Strong understanding of database concepts, data mapping, and data transformation techniques.
Troubleshoot and resolve integration issues, ensuring data accuracy…
",Posted 30+ days ago,2023-12-02
IT Analyst (Governance and Compliance),https://ng.indeed.com/rc/clk?jk=1d167bcccc1a1828&fccid=c05e6a3b54d6b529&vjs=3,Kuda Technologies Ltd,Lagos,,Full-time,"Perform data analytics to derive insights that can reinforce controls within various aspects of the business.
Support and coordinate internal audits, compliance…
",Active 11 days ago,2023-12-02
AWS Engineer,https://ng.indeed.com/rc/clk?jk=98a9ba1dd8f09bb1&fccid=45f4467645d80d27&vjs=3,PeopleOS,Lagos,,,"Expertise in collaborating with multi-disciplinary teams of business analysts, engineers, subject matter experts, and developers.
Perform cloud user management.
",Posted 7 days ago,2023-12-02
Senior BI Analyst,https://ng.indeed.com/rc/clk?jk=ae6a81399da6f9ea&fccid=511aa8b8ece86b4e&vjs=3,Seedstars,Lagos,,Full-time,"5+ years experience as a data analyst or in a related field.
Drive data quality management effort.
Proficiency in SQL and data visualization.
",Posted 30+ days ago,2023-12-02
Senior Commercial Analyst - Jumia (Full Time),https://ng.indeed.com/rc/clk?jk=30b789a9a5d925b4&fccid=3e9359119b425c78&vjs=3,Jumia,Lagos,,Full-time,"Ability to analyse large data sets to make strategic decisions.
As Senior Commercial Analyst (Commercial Performance Manager), you will manage and coordinate…
",Posted 30+ days ago,2023-12-02
D365 F&O Administrator,https://ng.indeed.com/rc/clk?jk=201c0e94657c5d8d&fccid=5986400a0322ebed&vjs=3,ITC WORLDWIDE,Lagos,,Full-time,"Ability to support / troubleshoot complex integrations and data.
The ideal candidate will have knowledge of D365 F&O system, workflows, configuration (including…
",Posted 30+ days ago,2023-12-02
Senior Commercial Analyst - Jumia (Full Time),https://ng.indeed.com/rc/clk?jk=30b789a9a5d925b4&fccid=3e9359119b425c78&vjs=3,Jumia,Lagos,,Full-time,"Ability to analyse large data sets to make strategic decisions.
As Senior Commercial Analyst (Commercial Performance Manager), you will manage and coordinate…
",Posted 30+ days ago,2023-12-02
Senior Operations Manager (Assets/Funds Management),https://ng.indeed.com/company/Stresert-Services-Limited-(Third-party-recruitment)/jobs/Senior-Operations-Manager-34dda4a8fe522cf0?fccid=2ed40671484c0a04&vjs=3,StreSERT Services Limited (Third Party...,Lagos,,Full-time,"Solid grasp of data analysis and performance metrics.
Oversee the implementation and maintenance of technology and systems used in operations, including trading…
",Posted 3 days ago,2023-12-02
D365 F&O Administrator,https://ng.indeed.com/rc/clk?jk=201c0e94657c5d8d&fccid=5986400a0322ebed&vjs=3,ITC WORLDWIDE,Lagos,,Full-time,"Ability to support / troubleshoot complex integrations and data.
The ideal candidate will have knowledge of D365 F&O system, workflows, configuration (including…
",Posted 30+ days ago,2023-12-02
Senior Insurance Risk Analyst,https://ng.indeed.com/company/Estrada-Staffing-International-Solutions/jobs/Senior-Risk-Analyst-cc243a64392bb1f0?fccid=b422d5a7ee624ab2&vjs=3,Estrada Staffing International Solutions,Lagos,"₦500,000 - ₦650,000 a month",Full-time,"Collaborate with data teams to ensure accurate and timely data retrieval and interpretation.
Proficiency in data analysis and statistical modeling techniques.
",Posted 30+ days ago,2023-12-02
Genesys Cloud Developer,https://ng.indeed.com/rc/clk?jk=c7eb16a7f153e5dd&fccid=c87f0b5bf4c2ea80&vjs=3,Procept Associates Professional Services Limited,Lagos,,Full-time,"Security and Compliance: Ensure the Genesys Cloud environment complies with security and compliance standards, including data protection and privacy regulations…
",Posted 30+ days ago,2023-12-02
Head of Operations (Asset/Funds Management),https://ng.indeed.com/company/Stresert-Services-Limited-(Third-party-recruitment)/jobs/Head-of-Operations-171c8b1ba1859e4c?fccid=2ed40671484c0a04&vjs=3,StreSERT Services Limited (Third Party...,Lagos,,Full-time,"Solid grasp of data analysis and performance metrics.
Oversee the implementation and maintenance of technology and systems used in operations, including trading…
",Active 11 days ago,2023-12-02
SAP Support Officer (Human Resources Management),https://ng.indeed.com/rc/clk?jk=3f4846d380fb12cb&fccid=ceb9703c328d2e23&vjs=3,Dangote Group,Lagos,,Full-time,"Detailed knowledge of the SAP HCM master data.
The resource(s) would join our team of professionals to support the daily SAP operations of the business and SAP…
",Posted 30+ days ago,2023-12-02
